address,area,price
哈西-尚熙雅轩,南岗,1900
学府-学府经典,南岗,1808
哈西-万达华府(南岗),南岗,4500
哈西-辰能溪树庭院(北区),南岗,2500
哈西-辰能溪树庭院(北区),南岗,3500
儿童公园-马家街小区(46-60号...,南岗,3600
博物馆-士课街3号小区,南岗,900
哈西-黑龙江省政法管理干部学院...,南岗,1700
哈西-金域蓝城,南岗,2600
黄河路-裕赐俯季,南岗,850
哈西-爱达九溪,南岗,650
哈达-凡尔赛诗城,南岗,1650
学府-学府经典,南岗,1999
通达街-电车小区(南岗),南岗,1500
哈西-金爵万象(一期),南岗,650
哈西-金海城,南岗,1300
汉广街-元士街小区(通达街2-2...,南岗,800
通达街-巴黎第五区,南岗,500
哈西-壹品新境,南岗,1700
哈西-学府青年城,南岗,2300
哈达-学府经典,南岗,2200
学府-辰能溪树庭院(南区),南岗,2550
哈西-润达国际,南岗,900
船舶-锦绣华城,南岗,2200
哈达-西典家园,南岗,1500
哈西-纳帕英郡,南岗,550
哈西-爱达九溪,南岗,2800
哈西-金水尚都(西区),南岗,600
哈西-鲁商松江新城,南岗,2300
哈达-东辉明珠园,南岗,2300
哈西-平公小区,南岗,550
宣化-爱达尊御,南岗,1180
哈西-恒祥城(三期),南岗,2199
和兴路-悦城,南岗,800
哈西-巴黎第五区,南岗,1600
哈西-宣西小区,南岗,1750
宣庆-万达华宅(E区),南岗,1728
哈西-汇龙北纬45度,南岗,260
哈西-黑大芳洲园,南岗,2700
保健路-君贵东方瑞景,南岗,600
哈西-辰能溪树庭院(北区),南岗,800
哈西-哈西华府,南岗,200
哈西-人和街小区(人和街114...,南岗,1400
儿童公园-创建小区,南岗,900
学府-万达华宅(E区),南岗,700
哈西-福顺尚都,南岗,300
学府-涧桥西畔,南岗,370
哈西-信恒现代城美园,南岗,1800
信恒现代城-爱达九溪,南岗,1100
哈西-西典家园,南岗,800
哈西-北鸿花园,南岗,600
和兴路-西典家园,南岗,400
哈西-金域蓝城,南岗,2000
哈西-东方新天地,南岗,1500
哈西-学府经典,南岗,2499
学府-信恒现代城美园,南岗,1800
信恒现代城-复华四道街小区,南岗,1100
西大桥-中发郦苑,南岗,1400
船舶-盟科观邸,南岗,1300
船舶-枫蓝国际,南岗,1500
哈西-建工小区,南岗,850
宣化-金域蓝城,南岗,700
哈西-学府经典,南岗,1700
哈站-天悦国际,南岗,2200
学府-锦绣华城,南岗,1800
哈西-福顺尚都,南岗,1700
哈达-元士街小区(通达街2-2...,南岗,1750
学府-壹品新境,南岗,2100
通达街-信恒现代城美园,南岗,1300
哈西-爱达壹号,南岗,2400
信恒现代城-中发郦苑,南岗,1500
哈西-家合城,南岗,2800
船舶-科大安居小区,南岗,800
哈西-金域蓝城,南岗,1300
学府-红星城,南岗,1250
哈西-鸿朗花园(二期),南岗,2300
哈西-巴山街68号院,南岗,1800
哈西-学府经典,南岗,1600
儿童公园-新发小区(F区),南岗,450
学府-中海文昌公馆,南岗,1800
儿童公园-巴陵街138号院,南岗,700
文昌街-金域蓝城,南岗,1100
儿童公园-阿什河街小区,南岗,500
哈西-西典家园(北区),南岗,2500
儿童公园-教化小区(曲线街),南岗,1800
哈西-鸿朗花园(二期),南岗,750
西大直街-一匡住宅小区,南岗,1500
哈西-西典家园,南岗,2300
西大直街-龙职师苑,南岗,1300
哈西-君贵东方瑞景,南岗,2900
哈西-信恒现代城美园,南岗,2700
哈西-辰能溪树庭院(北区),南岗,3000
信恒现代城-保利清华颐园,南岗,1450
哈西-金水尚都(西区),南岗,2500
哈西-中和街35号院,南岗,260
哈西-信恒现代城美园,南岗,1800
儿童公园-金域蓝城,南岗,1200
信恒现代城-悦城,南岗,1100
哈西,南岗,2200
哈西,南岗,1800
哈西-西典家园,南岗,2500
工人文化宫-文化街72号小区,南岗,600
哈西-东方新天地,南岗,780
哈西-巴黎第五区,南岗,1700
教化-桥北新城,南岗,2200
学府-国测房产住宅楼,南岗,750
学府-学府经典,南岗,2800
宣庆-宣西小区,南岗,1300
哈西-鸿朗花园(二期),南岗,1300
奋斗-奋斗小区,南岗,750
哈西-鸿朗花园,南岗,1800
哈西-涧桥西畔,南岗,2300
哈西-西城丽景,南岗,1700
哈达-学府青年城,南岗,2500
学府-学府经典,南岗,2000
哈西-红星城,南岗,650
哈西-辰能溪树庭院(南区),南岗,2500
征仪路-日出印象茗苑,南岗,2500
哈西-万达华宅(E区),南岗,3400
省人才-宣庆小区,南岗,2100
哈西-爱达壹号,南岗,800
西大直街-桥西住宅小区,南岗,200
哈西-鸿朗花园(二期),南岗,750
哈达-电影机小区,南岗,800
哈西-爱达尊御,南岗,2600
哈西-西典家园(北区),南岗,200
学府-黑大家属楼小区,南岗,600
哈西-万达华宅(F区),南岗,1300
哈西-壹品新境,南岗,3750
学府-国测房产住宅楼,南岗,850
哈西-爱达壹号,南岗,2000
学府-北华家园,南岗,1099
哈西-尚熙雅轩,南岗,700
教化-复华小区,南岗,1700
哈西-金域蓝城,南岗,1600
西大直街-西桥住宅小区,南岗,1600
教化-宏业小区,南岗,800
哈西-阳光家园(北区),南岗,1700
哈西-壹品新境,南岗,700
哈西-辰能溪树庭院(北区),南岗,2800
工人文化宫-营部街24号小区,南岗,1500
哈西-壹品新境,南岗,1900
学府-福顺尚都,南岗,1900
儿童公园-大成街小区,南岗,2100
学府-学府经典,南岗,600
学府-福顺尚都,南岗,850
西大直街-恒祥首府,南岗,300
哈西-金域蓝城,南岗,1600
征仪路-和谐家园(南岗),南岗,450
船舶-润达国际,南岗,200
大众新城-理工家属楼,南岗,1500
船舶-中发郦苑,南岗,1200
宣庆-宣西小区,南岗,1000
哈西-尚熙雅轩,南岗,1400
和兴路-林兴小区,南岗,550
学府-学府经典(三期),南岗,2000
哈西-爱达尊御,南岗,1100
哈西-爱达壹号,南岗,2800
哈西-金域蓝城,南岗,1650
哈西-南开华府,南岗,2400
哈西-拖配小区,南岗,990
哈西-东方新天地,南岗,800
哈西-阳光家园(二期),南岗,1000
儿童公园-比乐街小区,南岗,700
哈西-壹品新境,南岗,259
哈西-阳光家园(北区),南岗,900
博物馆-满洲里街58号小区,南岗,600
哈西-天悦国际,南岗,550
先锋路南岗段-先锋领地,南岗,2800
秋林-宏达花园,南岗,499
秋林-宏达花园,南岗,499
博物馆-中山路246号小区,南岗,500
学府-学府经典(三期),南岗,2300
西大直街-西桥住宅小区,南岗,1300
和兴路-和兴小区,南岗,700
哈西-西典家园,南岗,600
哈西-爱达壹号,南岗,2500
省人才-宣西电业小区,南岗,800
教化-桥北小区,南岗,800
学府-征仪路花园小区(A区),南岗,750
学府-盛世桃园,南岗,888
哈西-悦城,南岗,1200
哈西-西沟街小区,南岗,1300
哈西-金域蓝城,南岗,1900
哈西-爱达尊御,南岗,2500
学府-电影机械厂家属小区,南岗,750
哈西-恒大珺庭,南岗,3400
西大直街-中兴阳光家园,南岗,2200
宣庆-宣西小区,南岗,2000
哈西-枫蓝国际,南岗,1200
哈西-爱达尊御,南岗,1800
和兴路-黑龙江现代文化艺术产业园,南岗,2200
学府-学府经典,南岗,2500
哈西-万达华宅(E区),南岗,900
哈西-恒大珺庭,南岗,3200
南岗周边-鑫泉金岗湾,南岗,1300
哈西-万达华宅(E区),南岗,2800
哈西-西典家园,南岗,1899
哈西-辰能溪树庭院(北区),南岗,4500
哈西-万达华宅(E区),南岗,800
哈西-辰能溪树庭院(北区),南岗,2500
学府-学府经典,南岗,900
哈西-金域蓝城,南岗,1500
教化-文君花园,南岗,1600
